A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A401,TAYLORVIEW MIDDLE SCHOOL 350 CASTLEROCK LANE IDAHO FALLS,B645,Taylorview Junior High School 350 Castlerock Ln Idaho Falls,0.9499731
A741,SODA SPRINGS HIGH SCHOOL 300 EAST 1ST NORTH STREET SODA SPRINGS,B601,Soda Springs Sr High School 100 N 300 E Soda Springs,0.94994336
A386,EAGLE ROCK MIDDLE SCHOOL 2020 PANCHERI DRIVE IDAHO FALLS,B146,Eagle Rock Junior High School 2020 Pancheri Dr Idaho Falls,0.9497372
A630,OWYHEE ELEMENTARY SCHOOL 2300 WEST IOWA NAMPA,B473,Owyhee Elementary 2300 W. Iowa Nampa,0.94933724
A30,TROY JR/SR HIGH SCHOOL 101 TROJAN DRIVE TROY,B674,Troy Jr-Sr High School 101 Trojan Dr. Troy,0.9490213
A396,3B JUVENILE DETENTION CENTER 950 ENVIRONMENTAL WAY IDAHO FALLS,B1,3-B Juvenile Detention 605 N Capital Ave Idaho Falls,0.9489831
A89,COEUR D'ALENE CHARTER ACADEMY SCHOOL 4904 NORTH DUNCAN DRIVE COEUR D'ALENE,B106,Coeur D'Alene Charter Academy 4904 N Duncan Dr Coeur D'Alene,0.9489691
A723,DONALD J HOBBS MIDDLE SCHOOL 350 EAST PINE STREET SHELLEY,B265,Hobbs Middle School 350 E Pine St Shelley,0.9488414
A462,MOUNTAINVIEW ALTERNATIVE HIGH SCHOOL 7802 WEST MAIN STREET RATHDRUM,B426,Mountain View Alternative School 7802 Main St Rathdrum,0.94831383
A718,SALMON ALTERNATIVE HIGH SCHOOL 1501 BEAN LANE SALMON,B570,Salmon Elementary School 300 Main St Salmon,0.9476852
A608,MOUNTAIN HOME JUNIOR HIGH SCHOOL 1600 EAST 6TH SOUTH STREET MOUNTAIN HOME,B423,Mountain Home Jr High School 1600 E 6th South Mountain Home,0.9474406
A321,BONNEVILLE ONLINE SCHOOL 3385 EAST IONA ROAD IDAHO FALLS,B51,Bonneville Online High School 3385 E Iona Road Idaho Falls,0.94720066
A519,McMillan Elementary 10901 MCMILLAN BOISE,B392,Mcmillan Elementary School 10901 W Mcmillan Rd Boise,0.94627553
A283,FERNAN STEM ACADEMY 520 NORTH 21ST COEUR D'ALENE,B176,Fernan Stem Academy School 520 N 21st St Coeur D Alene,0.94605756
A24,RICHARD MCKENNA CHARTER SCHOOL - MONTESSORI 1305 EAST 8TH NORTH MOUNTAIN HOME,B535,Richard Mckenna Charter Schools 795 S Haskett St Mountain Home,0.94499266
A709,POTLATCH ELEMENTARY SCHOOL 130 6TH STREET POTLATCH,B515,Potlatch Elementary School 510 Elm Street Potlatch,0.94467515
A355,SOUTH FREMONT JR HIGH 550 NORTH 1ST WEST ST ANTHONY,B604,South Fremont Junior High 550 N 1st W Saint Anthony,0.94443846
A134,BLACKFOOT HERITAGE SIXTH GRADE 50 SOUTH SHILLING AVENUE BLACKFOOT,B43,Blackfoot Heritage Sixth Grade School 50 S Shilling Avenue Blackfoot,0.9440285
A241,LAKEVUE ELEMENTARY SCHOOL 12843 CIRRUS DRIVE NAMPA,B345,Lakevue Elementary School 12843 Cirrus Dr Nampa,0.9435514
A81,CHIEF TAHGEE ELEMENTARY ACADEMY PO BOX 217 FORT HALL,B96,Chief Tahgee Elementary Academy 34 South Hiline Rd. Fort Hall,0.9431678
A381,HORSESHOE BEND ELEMENTARY 398 SCHOOL DRIVE HORSESHOE BEND,B276,Horseshoe Bend Elementary Sch 116 School Dr Horseshoe Bend,0.9417079
A22,RICHARD MCKENNA CHARTER SCHOOL - ONLINE 675 SOUTH HASKETT STREET MOUNTAIN HOME,B535,Richard Mckenna Charter Schools 795 S Haskett St Mountain Home,0.9416871
A484,MACKAY ELEMENTARY SCHOOL PO BOX 390 MACKAY,B372,Mackay Elementary School 400 E Spruce Street Mackay,0.94079614
A728,SHOSHONE MIDDLE SCHOOL 61 EAST HIGHWAY 24 SHOSHONE,B587,Shoshone Elementary School 61 E. Highway 24 Shoshone,0.9407599
A693,RULON M ELLIS ELEMENTARY SCHOOL 11888 NORTH WHITAKER ROAD CHUBBUCK,B161,Ellis Elementary School 5500 Whitaker Rd Chubbuck,0.9403027
A554,PEPPER RIDGE ELEMENTARY 2252 SOUTH SUMPTER WAY BOISE,B494,Pepperridge Elementary School 2252 S Sumpter Way Boise,0.94011104
A106,MOSAICS PUBLIC SCHOOL 3121 LINCOLN ROAD CALDWELL,B418,"Mosaics Public School, Inc. 3121 Lincoln Road Caldwell",0.9400004
A666,PARMA HIGH SCHOOL 137 PANTHER WAY PARMA,B482,Parma High School 908 N 8th St Parma,0.9391944
A496,MADISON ONLINE ELEMENTARY 379 SOUTH 2ND EAST REXBURG,B376,Madison Middle School 575 W 700 S Rexburg,0.93871033
A370,GOODING ALTERNATIVE LEARNING CENTER 906 MAIN STREET GOODING,B217,Gooding Alternative Learning Center (Galc) 1050 7th Ave W Gooding,0.9386203
A376,HANSEN JR/SR HIGH SCHOOL 550 MAIN STREET SOUTH HANSEN,B237,Hansen Junion/Senior High School 550 Main St S Hansen,0.9384467
A243,SKYWAY ELEMENTARY 19430 WARD ROAD CALDWELL,B596,Skyway Elementary School 19430 Ward Ln Caldwell,0.93825877
A58,CLEARWATER VALLEY ELEMENTARY 306 EAST PINE STREET KOOSKIA,B102,Clearwater Valley Elem School 306 E Pine Kooskia,0.938097
A226,SACAJAWEA ELEMENTARY SCHOOL 1710 NORTH ILLINOIS CALDWELL,B564,Sacajawea Elementary School 1710 N Illinois Ave Caldwell,0.93796545
A340,PAYETTE RIVER TECHNICAL ACADEMY 721 WEST 12TH STREET EMMETT,B491,Payette River Technical Academy 1805 Highway 16 Emmett,0.9379602
A188,CYNTHIA MANN ELEMENTARY SCHOOL 5401 WEST CASTLE DRIVE BOISE,B119,Cynthia Mann Elem School 5401 West Castle Dr Boise,0.93769974
A248,BURLEY SENIOR HIGH SCHOOL 2100 PARK AVENUE BURLEY,B60,Burley Jr High School 700 W 16th St Burley,0.93744254
A759,TETON MIDDLE SCHOOL 935 NORTH 5TH EAST DRIGGS,B654,Teton Middle School 935 N 5th Street Driggs,0.9363661
A614,MULLAN SCHOOLS 345 PARK STREET MULLAN,B433,Mullan Elementary School 345 Park Ave Mullan,0.9362798
A57,GRANGEVILLE ELEM/MIDDLE SCHOOL 400 IDAHO STREET GRANGEVILLE,B225,Grangeville Elementary School 400 Idaho St Grangeville,0.9359197
A524,MARY MCPHERSON ELEMENTARY 1050 EAST AMITY ROAD MERIDIAN,B386,Mary Mcpherson Elem School 1050 E Amity Rd Meridian,0.93579626
A654,MALAD MIDDLE SCHOOL 175 JENKINS AVENUE MALAD CITY,B378,Malad Elementary School 250 W 4th N St Malad City,0.9357561
A393,SKYLINE SENIOR HIGH SCHOOL 1767 BLUE SKY DRIVE IDAHO FALLS,B593,Skyline High School 1767 Blue Sky Dr Idaho Falls,0.93497217
A118,ELEVATE ACADEMY NAMPA 114 WEST CHICAGO STREET CALDWELL,B155,Elevate Academy Inc 114 W. Chicago St Caldwell,0.93485886
A772,ROBERT STUART MIDDLE SCHOOL 644 CASWELL AVENUE WEST TWIN FALLS,B628,Stuart Junior High School 644 Caswell Ave W Twin Falls,0.9341358
A801,BEUTLER MIDDLE SCHOOL PO BOX 140 DAYTON,B36,Beutler Middle School 626 N Westside Hwy Dayton,0.9340379
A53,RIGGINS ELEMENTARY SCHOOL PO BOX 872 RIGGINS,B541,Riggins Elementary School 133 Main Ave. North Riggins,0.93314767
A253,RAFT RIVER ELEMENTARY SCHOOL PO BOX 615 MALTA,B529,Raft River Elementary School 140 W Center St Malta,0.93283206
A463,GARWOOD ELEMENTARY SCHOOL PO BOX 990 RATHDRUM,B200,Garwood Elementary School 17506 North Ramsey Road Rathdrum,0.9328098
A278,ATLAS ELEMENTARY SCHOOL 3000 WEST HONEYSUCKLE HAYDEN LAKE,B26,Atlas Elementary School 3000 W. Honeysuckle Avenue Hayden,0.93279064
A560,PATHWAYS MIDDLE SCHOOL 1870 EAST HERITAGE PARK LANE MERIDIAN,B484,Pathways Middle School 1870 E Heritage Park Ln Meridian,0.93257856
A555,SAWTOOTH MIDDLE SCHOOL 3730 NORTH LINDER ROAD MERIDIAN,B578,Sawtooth Middle School 3730 North Linder Road Merdian,0.9313446
A533,CHAPARRAL ELEMENTARY 1155 NORTH DEER CREEK LANE MERIDIAN,B94,Chaparral Elementary 1155 N Deer Crk Ln Meridian,0.93072826
A373,HAGERMAN SCHOOL 150 LAKE STREET WEST HAGERMAN,B232,Hagerman Elementary School 324 N 2nd St Hagerman,0.9297056
A786,SILVER HILLS ELEMENTARY SCHOOL PO BOX 2160 OSBURN,B591,Silver Hills Elementary School 1243 E Mullen Av Osburn,0.9294824
A752,SUGAR-SALEM HIGH SCHOOL 1 DIGGER DRIVE SUGAR CITY,B630,Sugar-Salem High School 1 S Digger Dr Sugar City,0.9290167
A787,WALLACE JR/SR HIGH SCHOOL NUMBER 1 MINERS' ALLEY WALLACE,B697,Wallace Junior/High School #1 Miner'S Alley Wallace,0.9288113
A738,SNAKE RIVER OPPORTUNITIES HIGH SCHOOL 103 SOUTH 900 WEST BLACKFOOT,B598,Snake River High School 922 W Highway 39 Blackfoot,0.92869437
A775,I B PERRINE ELEMENTARY SCHOOL 452 CASWELL AVENUE WEST TWIN FALLS,B496,Perrine Elementary School 452 Caswell Ave W Twin Falls,0.9284617
A126,CLOVER CREEK HIGH SCHOOL 697 JACKSON MONTPELIER,B104,Clover Creek High School 330 Boise Street Montpelier,0.9283411
A757,SWAN VALLEY ELEMENTARY SCHOOL PO BOX 220 IRWIN,B637,Swan Valley Elementary School 3389 Highway 26 Irwin,0.92757154
A258,WHITE PINE ELEMENTARY 1900 HILAND AVENUE BURLEY,B723,White Pine Intermediate School 1610 Highland Ave Burley,0.9274627
A356,FIVE-COUNTY DETENTION CENTER PO BOX 55 ST ANTHONY,B2,5 County Detention Center 432 N 2300 East St Anthony,0.92718667
A748,ST MARIES HIGH SCHOOL 424 HELLS GULCH ROAD ST MARIES,B616,St Maries Middle School 1315 W Jefferson Ave Saint Maries,0.92671007
A78,NORTH IDAHO STEM CHARTER ACADEMY PO BOX 434 RATHDRUM,B455,North Idaho Stem Charter Academy 15633 N. Meyer Rd Rathdrum,0.9260627
